id,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
0,36478,4.96319,-48.0547,2.31378,-42.0981,0,1.78911,11.287,-28.1427,3.4714,41.6768,68.859,0.028076,0.994615,0.0994645,-0.00769996,472.39,261.18
1,36489,4.66855,-47.7641,2.31378,-42.0981,0,1.78911,11.287,-28.1427,3.46248,41.6767,68.914,0.0282076,0.994708,0.0983918,-0.00894958,472.39,261.18
2,36489,4.66855,-47.7641,1.92314,-42.0614,0,1.78911,10.7069,-28.0898,3.46248,41.6767,68.914,0.0282076,0.994708,0.0983918,-0.00894958,473.318,261.048
3,36508,4.6482,-48.1721,1.92314,-42.0614,0,1.78911,10.7069,-28.0898,3.43602,41.6761,68.9078,0.0282081,0.99454,0.100078,-0.0088832,473.318,261.048
4,36549,3.93454,-47.7884,1.92314,-42.0614,0,1.78911,10.7069,-28.0898,3.39383,41.6718,68.8428,0.028712,0.99465,0.0985185,-0.0118691,473.318,261.048
5,36565,3.80178,-47.5757,1.60602,-42.2412,1.69951,-42.0894,10.2096,-28.2788,3.37907,41.6657,68.8443,0.0289504,0.994719,0.0976933,-0.0123039,474.142,261.249
6,36578,3.66413,-47.3605,1.60602,-42.2412,1.69951,-42.0894,10.2096,-28.2788,3.36091,41.6582,68.8461,0.0291888,0.994788,0.096868,-0.0127387,474.142,261.249
7,36598,3.52672,-47.5308,0.74577,-42.4072,0.834501,-42.2552,8.90099,-28.4356,3.34283,41.6564,68.8485,0.0291712,0.994708,0.0976147,-0.0132851,476.28,261.207
8,36609,3.36628,-47.697,0.74577,-42.4072,0.834501,-42.2552,8.90099,-28.4356,3.30996,41.653,68.8529,0.0291535,0.994628,0.0983612,-0.0138315,476.28,261.207
9,36631,3.22135,-47.5474,0.477768,-42.2807,0.565291,-42.1284,8.51586,-28.2872,3.29241,41.6542,68.862,0.0294242,0.994672,0.0977603,-0.0142891,476.839,261.052
