id,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
0,82731,3.02873,-36.9937,1.29701,-33.8633,1.25789e-28,-1.86129,11.4127,-5.2289,2.71638,39.3538,72.7941,0.00866247,0.996691,0.0806709,-0.00495586,478.025,277.143
1,82761,3.09148,-36.5812,1.29701,-33.8633,1.25789e-28,-1.86129,11.4127,-5.2289,2.71056,39.3585,72.7908,0.0084819,0.996844,0.0787936,-0.00462414,478.025,277.143
2,82781,2.86021,-36.9701,1.29701,-33.8633,1.25789e-28,-1.86129,11.4127,-5.2289,2.70543,39.3635,72.7921,0.00891085,0.996699,0.0805034,-0.00563354,478.025,277.143
3,82781,2.86021,-36.9701,1.16389,-33.8098,1.25789e-28,-1.86129,11.2843,-5.82,2.70543,39.3635,72.7921,0.00891085,0.996699,0.0805034,-0.00563354,478.29,277.61
4,82791,2.81134,-37.4113,1.16389,-33.8098,1.26221,-33.5379,11.2843,-5.82,2.70332,39.364,72.7923,0.00915047,0.996535,0.082464,-0.00582536,478.29,277.61
5,82831,1.85997,-37.32,1.13794,-33.7507,1.23442,-33.4737,11.0637,-5.24987,2.68649,39.3615,72.7893,0.00935804,0.996526,0.0821137,-0.0103218,478.45,277.107
6,82831,1.85997,-37.32,1.13794,-33.7507,1.23442,-33.4737,11.0637,-5.24987,2.68649,39.3615,72.7893,0.00935804,0.996526,0.0821137,-0.0103218,478.45,277.107
7,82864,2.1017,-36.7134,1.24993,-33.8589,1.34877,-33.5848,11.4256,-5.64237,2.65134,39.3477,72.767,0.00922488,0.996755,0.0794666,-0.00889466,478.12,277.496
8,82861,2.93455,-37.1033,1.24993,-33.8589,1.34877,-33.5848,11.4256,-5.64237,2.65475,39.3495,72.7676,0.00973117,0.996644,0.0811441,-0.00469965,478.12,277.496
9,82898,2.56016,-36.8035,1.1075,-33.7642,1.20497,-33.4919,11.1375,-5.74668,2.59056,39.331,72.706,0.00949996,0.99674,0.0798865,-0.0061732,478.489,277.532
10,82891,2.3325,-36.1056,1.1075,-33.7642,1.20497,-33.4919,11.1375,-5.74668,2.60838,39.3308,72.7397,0.00909164,0.996976,0.0768188,-0.00746746,478.489,277.532
11,82931,2.17595,-36.5032,1.0764,-33.7433,1.17356,-33.4715,11.074,-5.7674,2.51859,39.3102,72.6369,0.00926871,0.996832,0.0786285,-0.00764672,478.574,277.568
12,82931,2.17595,-36.5032,1.0764,-33.7433,1.17356,-33.4715,11.074,-5.7674,2.51859,39.3102,72.6369,0.00926871,0.996832,0.0786285,-0.00764672,478.574,277.568
13,82941,1.73228,-36.5164,1.0764,-33.7433,1.17356,-33.4715,11.074,-5.7674,2.49522,39.3061,72.6391,0.00929833,0.996805,0.0787373,-0.00966149,478.574,277.568
14,82965,1.39383,-36.5702,0.850537,-33.5457,0.943694,-33.2705,10.4264,-5.26378,2.45229,39.2935,72.6506,0.00960517,0.996762,0.0790859,-0.0109392,479.297,277.083
15,82961,1.41527,-35.8286,0.850537,-33.5457,0.943694,-33.2705,10.4264,-5.26378,2.45839,39.2965,72.7211,0.00956189,0.997017,0.0758191,-0.0108049,479.297,277.083
16,82998,0.957761,-36.3326,0.708436,-33.4392,0.799752,-33.1643,10.0907,-5.19848,2.41877,39.2818,72.6878,0.0102974,0.996808,0.078153,-0.0126226,479.672,277.029
17,82991,1.06012,-36.6257,0.708436,-33.4392,0.799752,-33.1643,10.0907,-5.19848,2.41266,39.2819,72.6613,0.009912,0.996716,0.0794343,-0.0122168,479.672,277.029
18,83031,0.492379,-36.8362,0.375558,-33.2039,0.463095,-32.9315,9.3611,-5.24489,2.37436,39.2653,72.6505,0.0110328,0.99659,0.0804863,-0.0144403,480.575,276.955
19,83031,0.492379,-36.8362,0.375558,-33.2039,0.463095,-32.9315,9.3611,-5.24489,2.37436,39.2653,72.6505,0.0110328,0.99659,0.0804863,-0.0144403,480.575,276.955
20,83041,0.464774,-36.3656,0.375558,-33.2039,0.463095,-32.9315,9.3611,-5.24489,2.36539,39.265,72.6867,0.0112832,0.996752,0.0784246,-0.0144006,480.575,276.955
21,83065,-0.103259,-36.3035,-0.17452,-32.8045,-0.0936565,-32.535,8.1135,-5.17433,2.33174,39.2631,72.6584,0.0118631,0.99673,0.0781455,-0.0168124,482.046,276.747
22,83061,0.346789,-36.1503,-0.17452,-32.8045,-0.0936565,-32.535,8.1135,-5.17433,2.34541,39.2623,72.6507,0.0110409,0.996824,0.0774433,-0.0149223,482.046,276.747
23,83091,-0.667583,-36.2412,-0.17452,-32.8045,-0.0936565,-32.535,8.1135,-5.17433,2.30068,39.2614,72.6323,0.012443,0.996701,0.077866,-0.0192242,482.046,276.747
24,83091,-0.667583,-36.2412,-1.3374,-32.0762,-1.26626,-31.8278,5.94182,-6.65815,2.30068,39.2614,72.6323,0.012443,0.996701,0.077866,-0.0192242,485.109,277.835
25,83111,-0.484381,-35.2938,-1.3374,-32.0762,-1.26626,-31.8278,5.94182,-6.65815,2.27103,39.2585,72.6382,0.0128343,0.997041,0.0736296,-0.0179727,485.109,277.835
26,83132,-1.55194,-35.1883,-1.70112,-31.8156,-1.63431,-31.5695,5.13052,-6.6593,2.18653,39.249,72.6283,0.0144837,0.996961,0.0732483,-0.022197,486.085,277.726
27,83131,-0.834262,-35.8508,-1.70112,-31.8156,-1.63431,-31.5695,5.13052,-6.6593,2.22584,39.25,72.6822,0.0140201,0.996808,0.0762586,-0.0190375,486.085,277.726
28,83165,-2.45421,-35.2327,-2.09067,-31.5203,-2.02912,-31.2748,4.19708,-6.4343,2.11583,39.2462,72.6515,0.0164519,0.996828,0.0735385,-0.0255941,487.148,277.492
29,83161,-2.58613,-35.0853,-2.09067,-31.5203,-2.02912,-31.2748,4.19708,-6.4343,2.12533,39.2421,72.6212,0.0161328,0.996861,0.0728655,-0.0264208,487.148,277.492
30,83198,-4.11435,-35.0479,-2.7605,-31.0369,-2.7071,-30.7953,2.68911,-6.38777,1.98327,39.2414,72.613,0.019656,0.99664,0.072795,-0.0319897,489.088,277.312
31,83191,-4.11463,-34.6129,-2.7605,-31.0369,-2.7071,-30.7953,2.68911,-6.38777,1.97196,39.2413,72.6113,0.0188828,0.996792,0.0708144,-0.0321492,489.088,277.312
32,83221,-5.76547,-35,-2.7605,-31.0369,-2.7071,-30.7953,2.68911,-6.38777,1.75473,39.2404,72.6,0.0231784,0.996375,0.0727214,-0.0375573,489.088,277.312
33,83221,-5.76547,-35,-3.72084,-30.3648,-3.67833,-30.1318,0.611845,-6.61801,1.75473,39.2404,72.6,0.0231784,0.996375,0.0727214,-0.0375573,491.63,277.422
34,83264,-9.12411,-34.7625,-5.0465,-29.461,-5.01816,-29.2432,-2.15921,-7.27399,1.57753,39.2361,72.6583,0.0278416,0.995684,0.0719807,-0.0515476,495.166,277.89
35,83261,-10.5227,-35.3057,-5.0465,-29.461,-5.01816,-29.2432,-2.15921,-7.27399,1.3598,39.2364,72.6905,0.0294235,0.995187,0.0745751,-0.0563473,495.166,277.89
36,83281,-12.8855,-34.4699,-5.0465,-29.461,-5.01816,-29.2432,-2.15921,-7.27399,1.12931,39.2254,72.8059,0.0324987,0.994775,0.0712243,-0.0655267,495.166,277.89
37,83291,-13.7931,-33.728,-5.0465,-29.461,-5.01816,-29.2432,-2.15921,-7.27399,1.01412,39.2287,72.8687,0.0347688,0.994707,0.0680995,-0.0686471,495.166,277.89
38,83291,-13.7931,-33.728,-7.02617,-28.0985,-7.01953,-27.902,-6.34926,-8.07153,1.01412,39.2287,72.8687,0.0347688,0.994707,0.0680995,-0.0686471,500.46,278.556
39,83311,-16.2359,-33.5943,-7.02617,-28.0985,-7.01953,-27.902,-6.34926,-8.07153,0.775273,39.2105,73.0186,0.0392698,0.993876,0.0681622,-0.077599,500.46,278.556
40,83331,-19.2388,-32.3091,-7.02617,-28.0985,-7.01953,-27.902,-6.34926,-8.07153,0.530282,39.1881,73.1072,0.0419928,0.993071,0.0628409,-0.0899872,500.46,278.556
