i,Qual,tx,ty,o1x,o1y,o2x,o2y,o3x,o3y,px,py,pz,qx,qy,qz,qw
148,8,-27.7786,-13.0056,-23.2117,-19.3128,-23.3245,-19.4314,-33.4978,-30.1241,15.6748,46.5648,49.3662,0.0447338,0.972161,-0.201765,-0.110422
149,5,-27.9877,-13.2201,-24.4556,-19.3538,-24.5716,-19.4715,-35.069,-30.1198,15.6641,46.5666,49.3778,0.0449913,0.97228,-0.200685,-0.111236
150,8,-28.4071,-13.1131,-24.4556,-19.3538,-24.5716,-19.4715,-35.069,-30.1198,15.6384,46.5614,49.355,0.0456511,0.97196,-0.201164,-0.112884
151,0,-28.2245,-13.4238,-24.4556,-19.3538,-24.5716,-19.4715,-35.069,-30.1198,15.6365,46.5714,49.4078,0.0452487,0.972397,-0.199604,-0.11205
152,5,-27.9073,-13.778,-25.3918,-19.4365,-25.5103,-19.5536,-36.2757,-30.1876,15.653,46.5707,49.4384,0.044283,0.972913,-0.197941,-0.110897
153,8,-27.9073,-13.778,-25.3918,-19.4365,-25.5103,-19.5536,-36.2757,-30.1876,15.653,46.5707,49.4384,0.044283,0.972913,-0.197941,-0.110897
154,5,-26.8928,-13.7416,-26.0178,-19.5716,-26.1384,-19.6886,-37.1201,-30.3424,15.7226,46.5375,49.3585,0.0423207,0.973317,-0.198448,-0.107149
155,8,-26.4672,-14.3255,-26.0178,-19.5716,-26.1384,-19.6886,-37.1201,-30.3424,15.7111,46.5296,49.3613,0.0428723,0.974174,-0.195452,-0.104619
156,5,-25.0955,-14.5016,-26.0479,-19.6283,-26.1688,-19.7455,-37.1843,-30.4186,15.8355,46.5115,49.3157,0.0393123,0.974867,-0.195142,-0.100044
157,8,-25.8579,-13.708,-26.0479,-19.6283,-26.1688,-19.7455,-37.1843,-30.4186,15.8075,46.4968,49.2609,0.0403576,0.973703,-0.198952,-0.1034
158,5,-23.706,-14.6724,-25.5749,-19.4632,-25.6939,-19.5802,-36.5166,-30.2154,15.9751,46.4912,49.2646,0.0357509,0.975526,-0.194826,-0.0954653
159,8,-23.706,-14.6724,-25.5749,-19.4632,-25.6939,-19.5802,-36.5166,-30.2154,15.9751,46.4912,49.2646,0.0357509,0.975526,-0.194826,-0.0954653
160,5,-21.5964,-14.1011,-24.7304,-19.4324,-24.8473,-19.5501,-35.4486,-30.2141,16.1404,46.4583,49.1993,0.0320405,0.97577,-0.197942,-0.0875477
161,8,-22.5602,-14.2588,-24.7304,-19.4324,-24.8473,-19.5501,-35.4486,-30.2141,16.1384,46.4659,49.1898,0.0320228,0.975433,-0.197389,-0.0924302
162,5,-19.6087,-13.6278,-22.9971,-18.9287,-23.1076,-19.0461,-33.0498,-29.6082,16.384,46.4023,49.1208,0.0268809,0.975907,-0.200679,-0.0813015
163,8,-19.449,-13.5308,-22.9971,-18.9287,-23.1076,-19.0461,-33.0498,-29.6082,16.3425,46.4182,49.1196,0.0283273,0.97593,-0.201041,-0.0796225
164,5,-16.67,-12.9917,-21.6025,-18.8642,-21.7093,-18.9825,-31.2796,-29.5875,16.6439,46.335,49.0476,0.0217346,0.976225,-0.203937,-0.0701596
165,8,-16.67,-12.9917,-21.6025,-18.8642,-21.7093,-18.9825,-31.2796,-29.5875,16.6439,46.335,49.0476,0.0217346,0.976225,-0.203937,-0.0701596
166,5,-14.6009,-12.5731,-19.8249,-18.7729,-19.927,-18.8925,-29.0192,-29.5488,16.7845,46.2862,49.0378,0.0171196,0.976426,-0.205983,-0.0622063
