id,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
0,80704,2.04443,-47.3927,21.5011,-37.9424,3.72021,-0.171635,16.2733,-26.831,-1.75929,42.1016,67.9105,0.0010788,0.994782,0.100387,0.0181646,480.344,243.39
1,80704,2.04443,-47.3927,21.7185,-38.1671,3.72021,-0.171635,16.3681,-27.6509,-1.75929,42.1016,67.9105,0.0010788,0.994782,0.100387,0.0181646,480.474,244.483
2,80744,2.5203,-48.7322,21.7185,-38.1671,3.72021,-0.171635,16.3681,-27.6509,-1.87974,42.2003,67.909,-0.000701056,0.994238,0.105191,0.0206049,480.474,244.483
3,81704,-6.0262,-48.8074,11.0476,-38.9394,10.9714,-38.777,3.98489,-23.8941,-11.1376,40.166,63.3801,-0.0520739,0.992218,0.107762,0.0343475,499.804,238.07
4,81724,-6.44078,-48.657,11.0476,-38.9394,10.9714,-38.777,3.98489,-23.8941,-11.609,39.9728,63.1486,-0.0533676,0.992079,0.107879,0.0359559,499.804,238.07
5,81744,-6.9652,-48.1477,11.0476,-38.9394,10.9714,-38.777,3.98489,-23.8941,-12.0846,39.7654,62.9096,-0.0557052,0.992081,0.106398,0.0367617,499.804,238.07
6,81744,-6.9652,-48.1477,9.73801,-39.0485,9.65929,-38.8802,2.45569,-23.4775,-12.0846,39.7654,62.9096,-0.0557052,0.992081,0.106398,0.0367617,502.3,237.447
7,81754,-6.91783,-47.6591,9.73801,-39.0485,9.65929,-38.8802,2.45569,-23.4775,-12.3286,39.6562,62.8164,-0.0560982,0.992122,0.105002,0.0390124,502.3,237.447
8,81777,-7.67926,-46.3717,8.39897,-39.1593,8.31769,-38.9848,0.892697,-23.0488,-12.9665,39.2869,62.4571,-0.0583437,0.992335,0.10118,0.0403644,504.756,236.798
9,81774,-7.55993,-46.6728,8.39897,-39.1593,8.31769,-38.9848,0.892697,-23.0488,-12.8057,39.4012,62.5524,-0.0582982,0.992312,0.101784,0.0394641,504.756,236.798
10,81811,-7.60565,-44.5152,5.52381,-39.3565,5.43735,-39.168,-2.43672,-22.003,-13.5824,38.872,62.1624,-0.0612895,0.992499,0.095533,0.0454232,509.977,235.392
11,81804,-8.27379,-45.1627,5.52381,-39.3565,5.43735,-39.168,-2.43672,-22.003,-13.51,38.9722,62.1511,-0.0605878,0.992528,0.0973557,0.0417156,509.977,235.392
12,81844,-7.85077,-42.3129,4.21064,-39.2555,4.12311,-39.0561,-3.83216,-20.9348,-14.4534,38.2786,61.7252,-0.0642758,0.992602,0.0892744,0.0513785,512.04,234.017
13,81844,-7.85077,-42.3129,4.21064,-39.2555,4.12311,-39.0561,-3.83216,-20.9348,-14.4534,38.2786,61.7252,-0.0642758,0.992602,0.0892744,0.0513785,512.04,234.017
14,81880,-7.61936,-40.6005,2.52795,-39.108,2.4392,-38.8942,-5.60842,-19.51,-14.9635,37.8212,61.4129,-0.0657415,0.992601,0.0846614,0.0570511,514.55,232.291
