Right Eye Position (x,y,z),Right Eye Forward Vector (x,y,z),Head Position (x,y,z),Head Rotation axis (x,y,z),Head Rotation angle ,Absolute intersection (x,y,z) ,Relative intersection (x,y,z) ,Interacted Object ID,timeStamp in ms
3.45496,-1.68948,-2.01864,0.188425,-0.232767,0.954105,27.9151,28.3959,68.3804,-0.0774281,0.992047,0.0992358,163.982,35.6863,17.5261,0,1455.21,365.326,0,0,1750
3.45496,-1.68948,-2.01864,0.188425,-0.232767,0.954105,27.9151,28.3959,68.3804,-0.0774281,0.992047,0.0992358,163.982,35.6863,17.5261,0,1455.21,365.326,0,0,1800
3.45496,-1.68948,-2.01864,0.188425,-0.232767,0.954105,27.9151,28.3959,68.3804,-0.0774281,0.992047,0.0992358,163.982,35.6863,17.5261,0,1455.21,365.326,0,0,1867
3.45496,-1.68948,-2.01864,0.188425,-0.232767,0.954105,27.9151,28.3959,68.3804,-0.0774281,0.992047,0.0992358,163.982,35.6863,17.5261,0,1455.21,365.326,0,0,1934
3.54022,-1.63091,-2.02982,0.317573,-0.143939,0.937245,25.8654,27.4518,67.7097,-0.0111183,0.996987,0.0767697,179.36,3.18519,19.8363,0,129.885,271.119,0,0,2000
3.39473,-1.65816,-2.003,0.0971003,-0.185224,0.977887,24.4747,27.5416,67.8648,0.00862311,0.996889,0.0783487,186.605,9.29719,17.5553,0,379.119,364.133,0,0,2050
3.31257,-1.53118,-1.98843,-0.0275185,0.00679447,0.999598,22.4405,27.7378,68.7251,0.0347199,0.995858,0.084034,198.481,9.29719,17.5553,0,379.119,364.133,0,0,2117
3.04117,-1.66475,-2.06934,-0.438688,-0.195467,0.877124,20.0983,28.1887,69.8807,0.0694953,0.992214,0.103349,212.177,11.7564,17.9789,0,479.399,346.859,0,0,2183
3.00998,-1.67304,-2.08802,-0.485927,-0.207943,0.848902,19.2346,28.345,70.3872,0.0823329,0.990938,0.106129,217.733,7.3335,16.9881,0,299.044,387.264,0,0,2250
3.00998,-1.67304,-2.08802,-0.485927,-0.207943,0.848902,19.2346,28.345,70.3872,0.0823329,0.990938,0.106129,217.733,7.3335,16.9881,0,299.044,387.264,0,0,2300
