id,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
0,65885,5.97577,-31.3475,6.26197,-30.5409,0,1.7723,20.2252,-14.7548,5.76864,35.2876,79.4361,0.0480264,0.995268,0.0844319,0.00234339,465.356,254.024
1,65905,6.3488,-31.2102,6.26197,-30.5409,0,1.7723,20.2252,-14.7548,5.76553,35.2851,79.4469,0.0483701,0.995307,0.0836978,0.00426143,465.356,254.024
2,65905,6.3488,-31.2102,5.82718,-30.4426,0,1.7723,19.4924,-14.835,5.76553,35.2851,79.4469,0.0483701,0.995307,0.0836978,0.00426143,466.296,253.87
3,66015,6.06231,-31.1242,5.82718,-30.4426,5.95744,-30.2939,19.4924,-14.835,5.72021,35.3043,79.3955,0.0478044,0.995375,0.0832747,0.00298614,466.296,253.87
4,66035,6.43954,-31.0295,5.82718,-30.4426,5.95744,-30.2939,19.4924,-14.835,5.70243,35.3094,79.3864,0.0480233,0.995405,0.0826859,0.00498353,466.296,253.87
5,66035,6.43954,-31.0295,6.56392,-30.458,6.69577,-30.3047,20.4156,-14.3523,5.70243,35.3094,79.3864,0.0480233,0.995405,0.0826859,0.00498353,465.06,253.735
6,66065,6.51189,-30.7742,6.56392,-30.458,6.69577,-30.3047,20.4156,-14.3523,5.67288,35.3216,79.4337,0.0481374,0.995499,0.0814445,0.00556637,465.06,253.735
7,66065,6.51189,-30.7742,5.986,-30.5566,6.11872,-30.4083,19.9247,-14.9849,5.67288,35.3216,79.4337,0.0481374,0.995499,0.0814445,0.00556637,465.834,254.166
8,66105,5.91207,-31.9242,5.48155,-30.4823,5.61196,-30.3363,19.1581,-15.1691,5.63706,35.3411,79.4828,0.0472585,0.995094,0.0868701,0.00278851,466.806,254.133
9,66105,5.91207,-31.9242,5.48155,-30.4823,5.61196,-30.3363,19.1581,-15.1691,5.63706,35.3411,79.4828,0.0472585,0.995094,0.0868701,0.00278851,466.806,254.133
10,66115,6.15754,-31.8274,5.48155,-30.4823,5.61196,-30.3363,19.1581,-15.1691,5.62995,35.3428,79.55,0.0468276,0.99515,0.0864198,0.00397124,466.806,254.133
11,66139,6.34612,-31.9012,5.72855,-30.5488,5.86067,-30.4021,19.597,-15.1481,5.6103,35.3532,79.5527,0.0464764,0.99514,0.0866692,0.00494759,466.281,254.268
12,66155,6.52141,-31.9806,5.72855,-30.5488,5.86067,-30.4021,19.597,-15.1481,5.58082,35.3688,79.5566,0.0461252,0.995129,0.0869186,0.00592394,466.281,254.268
13,66172,6.08871,-32.153,5.59614,-30.6083,5.72917,-30.4632,19.5624,-15.3778,5.5488,35.3982,79.5625,0.0454601,0.995102,0.0876939,0.00388565,466.328,254.449
14,66165,6.56471,-32.5087,5.59614,-30.6083,5.72917,-30.4632,19.5624,-15.3778,5.5722,35.3703,79.5794,0.0460516,0.994917,0.0893333,0.00622187,466.328,254.449
15,66206,6.35085,-32.5886,5.48869,-30.6333,5.622,-30.4892,19.4851,-15.5107,5.55346,35.4138,79.5444,0.045005,0.994954,0.0895311,0.00505143,466.454,254.534
16,66205,5.67821,-32.3098,5.48869,-30.6333,5.622,-30.4892,19.4851,-15.5107,5.5323,35.4134,79.5655,0.0447948,0.99507,0.0884688,0.00184734,466.454,254.534
17,66239,6.06251,-32.4862,4.93297,-30.5682,5.06405,-30.4269,18.6759,-15.7521,5.53878,35.4692,79.5383,0.0433879,0.99509,0.0888912,0.00336878,467.517,254.538
18,66235,6.12746,-32.6947,4.93297,-30.5682,5.06405,-30.4269,18.6759,-15.7521,5.52695,35.4754,79.4949,0.0439583,0.994988,0.0897286,0.00388099,467.517,254.538
19,66265,6.45012,-32.6867,5.01543,-30.6039,5.14734,-30.4625,18.851,-15.7761,5.54726,35.5422,79.5027,0.0419809,0.995106,0.0893132,0.0048902,467.315,254.623
20,66265,6.45012,-32.6867,5.32139,-30.7377,5.45641,-30.5962,19.5031,-15.8681,5.54726,35.5422,79.5027,0.0419809,0.995106,0.0893132,0.0048902,466.564,254.939
21,66305,7.48192,-33.4219,5.32139,-30.7377,5.45641,-30.5962,19.5031,-15.8681,5.59798,35.6131,79.3592,0.0394276,0.994937,0.0920113,0.00894438,466.564,254.939
22,66305,7.48192,-33.4219,4.11258,-31.8382,4.26628,-31.7191,20.3622,-19.2446,5.59798,35.6131,79.3592,0.0394276,0.994937,0.0920113,0.00894438,466.207,258.224
23,66315,6.93463,-33.3123,4.11258,-31.8382,4.26628,-31.7191,20.3622,-19.2446,5.61404,35.626,79.346,0.0385106,0.995032,0.0916163,0.00595051,466.207,258.224
24,66335,7.75263,-31.9491,4.11258,-31.8382,4.26628,-31.7191,20.3622,-19.2446,5.63918,35.6269,79.2152,0.0379091,0.995602,0.0851344,0.0095296,466.207,258.224
25,66335,7.75263,-31.9491,2.31464,-32.99,2.48653,-32.8976,20.6169,-23.153,5.63918,35.6269,79.2152,0.0379091,0.995602,0.0851344,0.0095296,466.729,261.985
