id,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
0,240222,-13.3449,-50.7971,-13.1108,-51.2564,-13.0378,-51.1243,-2.63973,-32.3162,-1.48303,34.971,60.9825,-0.0768109,0.984799,0.142516,0.0629269,351.018,253.509
1,240222,-13.2795,-50.8643,-13.1108,-51.2564,-13.0378,-51.1243,-2.63973,-32.3162,-1.48228,34.9721,60.9646,-0.0768093,0.984738,0.142796,0.0632587,351.018,253.509
2,240254,-13.1679,-51.0732,-13.2623,-53.0095,-13.173,-52.8778,-0.40432,-34.0264,-1.49832,34.9674,60.9822,-0.0769228,0.984556,0.143729,0.0638292,350.046,254.36
3,240251,-13.3987,-50.9731,-13.2623,-53.0095,-13.173,-52.8778,-0.40432,-34.0264,-1.47924,34.9742,60.9299,-0.076767,0.984724,0.143133,0.0627559,350.046,254.36
4,240281,-13.2161,-51.4316,-13.2623,-53.0095,-13.173,-52.8778,-0.40432,-34.0264,-1.51109,34.969,60.8646,-0.0769939,0.98436,0.145,0.0638968,350.046,254.36
5,240281,-13.2161,-51.4316,-13.504,-54.6369,-13.3938,-54.4672,2.23509,-30.4027,-1.51109,34.969,60.8646,-0.0769939,0.98436,0.145,0.0638968,348.604,252.412
6,240311,-12.9432,-50.8336,-13.504,-54.6369,-13.3938,-54.4672,2.23509,-30.4027,-1.56491,34.9481,60.7971,-0.0774624,0.984549,0.142685,0.065596,348.604,252.412
7,240405,-12.5751,-51.1304,-13.3865,-54.0427,-13.2858,-53.898,1.10827,-33.2315,-1.6596,34.9017,60.5525,-0.0789965,0.984101,0.143793,0.0680298,349.304,254.203
8,240401,-12.6826,-51.3855,-13.3865,-54.0427,-13.2858,-53.898,1.10827,-33.2315,-1.67666,34.8874,60.5088,-0.0788311,0.983971,0.144877,0.0678079,349.304,254.203
9,240439,-12.5468,-51.2495,-13.6022,-55.8334,-13.4814,-55.6662,3.73188,-31.8368,-1.69609,34.8837,60.4529,-0.0794028,0.983972,0.144221,0.0685139,347.903,253.259
10,240431,-12.6249,-51.0351,-13.6022,-55.8334,-13.4814,-55.6662,3.73188,-31.8368,-1.70754,34.8778,60.4153,-0.0797285,0.984111,0.143233,0.0682141,347.903,253.259
11,240472,-12.3153,-51.1137,-13.5306,-54.9683,-13.4175,-54.7995,2.64627,-30.8309,-1.72889,34.8737,60.383,-0.0800014,0.983918,0.14364,0.0697973,348.307,252.754
12,240472,-12.2518,-51.1586,-13.5306,-54.9683,-13.4175,-54.7995,2.64627,-30.8309,-1.75044,34.8706,60.3436,-0.0801243,0.983849,0.143806,0.0703001,348.307,252.754
13,240502,-12.0242,-51.1951,-13.509,-55.0653,-13.3968,-54.908,2.6027,-32.4707,-1.75807,34.8681,60.3389,-0.0802741,0.983723,0.144047,0.0713802,348.344,253.441
14,240502,-12.0242,-51.1951,-13.509,-55.0653,-13.3968,-54.908,2.6027,-32.4707,-1.75807,34.8681,60.3389,-0.0802741,0.983723,0.144047,0.0713802,348.344,253.441
15,240511,-11.8138,-50.8705,-13.509,-55.0653,-13.3968,-54.908,2.6027,-32.4707,-1.76602,34.8667,60.3396,-0.0802229,0.983821,0.14286,0.0724631,348.344,253.441
16,240537,-11.9883,-51.0655,-13.6338,-56.4015,-13.5089,-56.2411,4.35844,-33.2932,-1.75351,34.8662,60.2944,-0.0807608,0.983776,0.143385,0.0714393,346.673,253.98
17,240531,-12.0183,-50.5881,-13.6338,-56.4015,-13.5089,-56.2411,4.35844,-33.2932,-1.7668,34.8624,60.3357,-0.0804651,0.984061,0.141575,0.0714551,346.673,253.98
18,240562,-12.1628,-51.2615,-13.6338,-56.4015,-13.5089,-56.2411,4.35844,-33.2932,-1.74051,34.8656,60.2475,-0.0812985,0.983729,0.143911,0.0704153,346.673,253.98
19,240562,-12.1628,-51.2615,-13.4869,-53.577,-13.3822,-53.3784,1.29903,-25.5345,-1.74051,34.8656,60.2475,-0.0812985,0.983729,0.143911,0.0704153,350.074,250.056
20,243470,-11.4712,-51.4295,-12.2956,-56.066,-13.3822,-53.3784,-3.37404,-100.408,-1.54053,34.8577,60.5125,-0.0804229,0.983461,0.145515,0.0718462,433.343,289.439
21,243484,-11.4826,-51.4347,-12.2956,-56.066,-13.3822,-53.3784,-3.37404,-100.408,-1.53793,34.8536,60.5127,-0.0803328,0.983461,0.145584,0.0718069,433.343,289.439
22,243494,-11.2451,-51.5173,-12.2956,-56.066,-13.3822,-53.3784,-3.37404,-100.408,-1.53705,34.8516,60.5087,-0.0803698,0.98331,0.146039,0.0729012,433.343,289.439
23,243494,-11.2451,-51.5173,-12.2956,-56.066,-13.3822,-53.3784,-3.37404,-100.408,-1.53705,34.8516,60.5087,-0.0803698,0.98331,0.146039,0.0729012,433.966,295.288
24,243514,-11.3915,-51.8341,-12.2956,-56.066,-13.3822,-53.3784,-3.37404,-100.408,-1.53011,34.8493,60.5007,-0.0806013,0.983179,0.147198,0.0720774,433.966,295.288
25,243536,-11.4151,-51.845,-12.2956,-56.066,-13.3822,-53.3784,-3.37404,-100.408,-1.53022,34.849,60.5014,-0.0806849,0.98318,0.147214,0.0719367,433.947,292.649
26,243544,-11.4386,-51.8544,-12.2956,-56.066,-13.3822,-53.3784,-3.37404,-100.408,-1.53053,34.848,60.5035,-0.0807684,0.983181,0.14723,0.0717961,433.947,292.649
27,243571,-11.2664,-52.1409,-12.2956,-56.066,-13.3822,-53.3784,-3.37404,-100.408,-1.52809,34.8451,60.4917,-0.0810974,0.982929,0.1484,0.0724707,434.025,293.951
28,243564,-11.0631,-52.0423,-12.2956,-56.066,-13.3822,-53.3784,-3.37404,-100.408,-1.53049,34.8428,60.5013,-0.081071,0.982898,0.14814,0.0734374,434.025,293.951
29,243594,-11.0941,-52.4277,-12.2956,-56.066,-13.3822,-53.3784,-3.37404,-100.408,-1.52523,34.8417,60.4779,-0.0814261,0.982674,0.14957,0.0731453,434.025,293.951
30,243594,-11.0941,-52.4277,-12.2956,-56.066,-13.3822,-53.3784,-3.37404,-100.408,-1.52523,34.8417,60.4779,-0.0814261,0.982674,0.14957,0.0731453,433.869,294.939
31,243614,-11.0916,-52.6215,-12.2956,-56.066,-13.3822,-53.3784,-3.37404,-100.408,-1.52077,34.8428,60.4643,-0.0812032,0.982564,0.150379,0.0732142,433.869,294.939
32,243636,-11.0015,-52.781,-12.2956,-56.066,-13.3822,-53.3784,-3.37404,-100.408,-1.52838,34.838,60.48,-0.0811894,0.982418,0.15112,0.0736611,433.28,292.743
33,243634,-10.9316,-52.9403,-12.2956,-56.066,-13.3822,-53.3784,-3.37404,-100.408,-1.52606,34.8366,60.4794,-0.0811372,0.982291,0.151814,0.0739787,433.28,292.743
