Right Eye Position (x,y,z),Right Eye Forward Vector (x,y,z),Head Position (x,y,z),Head Rotation axis (x,y,z),Head Rotation angle ,Relative intersection (x,y,z) ,Absolute intersection (x,y,z) ,Interacted Object ID,timeStamp in ms
3.35064,-1.86555,-2.18121,0.116512,-0.079503,0.990002,27.9341,21.851,70.052,0.0248469,0.999538,0.0175051,163.51,1732.78,413.37,0,42.4932,16.3479,0,0,13749
3.35064,-1.86555,-2.18121,0.116512,-0.079503,0.990002,27.9341,21.851,70.052,0.0248469,0.999538,0.0175051,163.51,1732.78,413.37,0,42.4932,16.3479,0,0,13766
3.35064,-1.86555,-2.18121,0.116512,-0.079503,0.990002,27.9341,21.851,70.052,0.0248469,0.999538,0.0175051,163.51,1732.78,413.37,0,42.4932,16.3479,0,0,13816
3.35064,-1.86555,-2.18121,0.116512,-0.079503,0.990002,27.9341,21.851,70.052,0.0248469,0.999538,0.0175051,163.51,1732.78,413.37,0,42.4932,16.3479,0,0,13832
3.35127,-1.86661,-2.18137,0.117478,-0.0811072,0.989758,27.7688,21.8703,70.2107,0.025535,0.999612,0.0111286,163.948,1699.91,453.948,0,41.6873,15.3528,0,0,13866
3.35127,-1.86661,-2.18137,0.117478,-0.0811072,0.989758,27.7688,21.8703,70.2107,0.025535,0.999612,0.0111286,163.948,1699.91,453.948,0,41.6873,15.3528,0,0,13882
3.31571,-1.87365,-2.17874,0.0635968,-0.0917726,0.993747,27.6994,21.8875,70.0091,0.0243061,0.999648,0.010626,164.12,1853.7,497.892,0,45.4587,14.2751,0,0,13932
3.31571,-1.87365,-2.17874,0.0635968,-0.0917726,0.993747,27.6994,21.8875,70.0091,0.0243061,0.999648,0.010626,164.12,1853.7,497.892,0,45.4587,14.2751,0,0,13950
3.31449,-1.87473,-2.17876,0.0617398,-0.0934015,0.993712,27.6912,21.8631,70.1459,0.0246165,0.99963,0.0115705,164.732,1827.91,497.975,0,44.8261,14.2731,0,0,14000
3.31497,-1.87436,-2.17876,0.0624782,-0.0928522,0.993718,27.6833,21.8796,70.2431,0.0239633,0.999619,0.0136699,164.778,1824.43,482.975,0,44.7407,14.6409,0,0,14016
3.31325,-1.87487,-2.1787,0.0598629,-0.0936186,0.993807,27.6784,21.8956,70.2125,0.0242051,0.999639,0.0116503,164.681,1836.75,497.299,0,45.0429,14.2897,0,0,14066
3.31286,-1.87439,-2.17863,0.0592811,-0.0928951,0.99391,27.6701,21.9425,69.9738,0.0263925,0.999612,0.00892939,163.624,1890.08,512.412,0,46.3506,13.9191,0,0,14083
3.31197,-1.87595,-2.17872,0.057933,-0.0952557,0.993766,27.6528,21.9508,70.0453,0.0254555,0.999515,0.0179633,164.848,1831.25,463.539,0,44.9079,15.1176,0,0,14133
3.31197,-1.87595,-2.17872,0.057933,-0.0952557,0.993766,27.6528,21.9508,70.0453,0.0254555,0.999515,0.0179633,164.848,1831.25,463.539,0,44.9079,15.1176,0,0,14133
3.30239,-1.87684,-2.17832,0.0434154,-0.0966104,0.994375,27.6419,21.893,70.2755,0.0246967,0.999588,0.0146247,164.679,1887.23,493.143,0,46.2809,14.3916,0,0,14183
3.30288,-1.87557,-2.17822,0.0441613,-0.0946768,0.994528,27.6374,21.8729,70.3742,0.0233251,0.999577,0.0173642,165.078,1866.05,470.103,0,45.7614,14.9566,0,0,14200
3.30418,-1.87721,-2.17844,0.0461252,-0.097171,0.994198,27.671,21.8888,70.1432,0.0218106,0.999677,0.0130762,164.489,1890.46,501.544,0,46.3601,14.1856,0,0,14250
3.30253,-1.87701,-2.17834,0.0436301,-0.0968671,0.994341,27.7096,21.8838,70.1787,0.0192001,0.999722,0.0136598,164.169,1919.14,496.738,0,47.0633,14.3034,0,0,14266
3.24581,-1.86844,-2.17753,-0.0423124,-0.0838778,0.995577,27.7925,21.9105,70.239,0.020311,0.99955,0.0220944,162.6,1919.14,496.738,0,47.0633,14.3034,0,0,14316
3.09733,-1.85461,-2.19998,-0.26729,-0.0629239,0.96156,27.8278,21.931,69.9958,0.018752,0.999785,0.00889194,162.928,1919.14,496.738,0,47.0633,14.3034,0,0,14333
3.05975,-1.85253,-2.21151,-0.324217,-0.0597662,0.944093,28.0328,21.9506,70.126,0.017239,0.999718,0.0163132,161.961,1919.14,496.738,0,47.0633,14.3034,0,0,14383
3.05975,-1.85253,-2.21151,-0.324217,-0.0597662,0.944093,28.0328,21.9506,70.126,0.017239,0.999718,0.0163132,161.961,1919.14,496.738,0,47.0633,14.3034,0,0,14383
3.06475,-1.85321,-2.20986,-0.316646,-0.0608017,0.946593,28.0176,21.9697,69.9364,0.0179957,0.999675,0.0180599,161.376,1919.14,496.738,0,47.0633,14.3034,0,0,14433
3.06888,-1.85242,-2.20844,-0.310391,-0.0596087,0.948738,28.1096,21.9469,70.0365,0.0171904,0.999665,0.019348,161.324,1919.14,496.738,0,47.0633,14.3034,0,0,14449
3.07151,-1.85339,-2.20765,-0.306408,-0.0610729,0.949939,28.213,21.9236,70.081,0.0168097,0.999707,0.0174145,161.12,1919.14,496.738,0,47.0633,14.3034,0,0,14499
3.07151,-1.85339,-2.20765,-0.306408,-0.0610729,0.949939,28.213,21.9236,70.081,0.0168097,0.999707,0.0174145,161.12,1919.14,496.738,0,47.0633,14.3034,0,0,14516
3.05711,-1.85637,-2.21268,-0.328217,-0.0655864,0.942323,28.3327,21.9058,70.0744,0.017149,0.999708,0.0170017,160.919,1919.14,496.738,0,47.0633,14.3034,0,0,14566
3.05711,-1.85637,-2.21268,-0.328217,-0.0655864,0.942323,28.3327,21.9058,70.0744,0.017149,0.999708,0.0170017,160.919,1919.14,496.738,0,47.0633,14.3034,0,0,14583
3.05931,-1.85581,-2.21188,-0.324892,-0.0647386,0.943533,28.3692,21.8692,70.3476,0.0170854,0.999773,0.0127391,161.265,1919.14,496.738,0,47.0633,14.3034,0,0,14616
3.05905,-1.85661,-2.21202,-0.325283,-0.0659522,0.943314,28.4119,21.9137,70.1341,0.0189914,0.99979,0.00771102,160.663,1919.14,496.738,0,47.0633,14.3034,0,0,14649
3.05973,-1.85534,-2.2117,-0.324258,-0.0640252,0.943799,28.4303,21.939,69.972,0.0190118,0.999763,0.0105886,160.485,1919.14,496.738,0,47.0633,14.3034,0,0,14682
3.0602,-1.85609,-2.21159,-0.323537,-0.0651623,0.943969,28.4534,21.9059,70.16,0.0185456,0.999768,0.0109769,161.067,1919.14,496.738,0,47.0633,14.3034,0,0,14699
