id,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
0,121344,22.3519,-46.8732,19.0302,-51.195,1.62471e+12,1.89484,59.7286,-4.14428,9.41405,42.7562,69.0444,0.0508973,0.994792,0.0784295,0.0405746,467.124,254.502
1,121344,22.3519,-46.8732,18.5544,-51.7856,1.62471e+12,1.89484,58.4423,-5.95089,9.41405,42.7562,69.0444,0.0508973,0.994792,0.0784295,0.0405746,468.248,255.177
2,121344,22.3519,-46.8732,18.1928,-50.9573,1.62471e+12,1.89484,56.6041,-3.71435,9.41405,42.7562,69.0444,0.0508973,0.994792,0.0784295,0.0405746,469.396,253.371
3,121384,22.1479,-48.0189,18.1928,-50.9573,18.4803,-50.6036,56.6041,-3.71435,9.35035,42.7901,69.0439,0.0512583,0.994425,0.0830095,0.0400088,469.396,253.371
4,121414,21.6237,-47.7692,18.1928,-50.9573,18.4803,-50.6036,56.6041,-3.71435,9.30721,42.8285,69.0532,0.0506561,0.994619,0.0821108,0.0377444,469.396,253.371
5,121414,21.6237,-47.7692,18.2068,-52.0085,18.4988,-51.6705,57.3621,-6.6814,9.30721,42.8285,69.0532,0.0506561,0.994619,0.0821108,0.0377444,469.216,255.335
6,121434,21.6675,-48.0898,18.2068,-52.0085,18.4988,-51.6705,57.3621,-6.6814,9.27642,42.846,69.0545,0.0505285,0.994512,0.0833226,0.0380721,469.216,255.335
7,121444,21.2093,-48.4578,18.2068,-52.0085,18.4988,-51.6705,57.3621,-6.6814,9.27398,42.8539,69.1576,0.0506934,0.994422,0.085166,0.0360717,469.216,255.335
8,121444,21.2093,-48.4578,17.7258,-51.7787,18.0098,-51.4359,55.505,-6.17079,9.27398,42.8539,69.1576,0.0506934,0.994422,0.085166,0.0360717,470.544,254.488
9,121464,21.6146,-48.8187,17.7258,-51.7787,18.0098,-51.4359,55.505,-6.17079,9.22785,42.8661,69.0287,0.0506751,0.994264,0.0861568,0.0380641,470.544,254.488
10,121487,21.1407,-48.8194,17.3094,-53.0981,17.5924,-52.774,54.9203,-10.0199,9.20208,42.8779,69.0634,0.0503808,0.994332,0.0864326,0.0359809,471.417,256.606
11,121484,20.8376,-49.0032,17.3094,-53.0981,17.5924,-52.774,54.9203,-10.0199,9.20631,42.8731,69.0903,0.0500708,0.994313,0.0874728,0.0344051,471.417,256.606
12,121518,20.7219,-48.8187,17.2809,-52.1374,17.5597,-51.7987,54.1718,-7.3131,9.18501,42.8848,69.0636,0.0500315,0.994399,0.0866569,0.0340204,471.274,254.932
13,121514,20.6753,-48.8213,17.2809,-52.1374,17.5597,-51.7987,54.1718,-7.3131,9.18012,42.888,69.093,0.0500862,0.994396,0.0867079,0.0338975,471.274,254.932
