id,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
0,101173,1.5723,-38.0879,-3.32634,-30.6312,-9.02603e-24,-1.82785,13.1284,-43.3341,-2.0935,39.3968,76.924,0.0107098,0.995618,0.0900752,0.0227089,481.74,274.212
1,101193,1.36926,-39.1774,-3.32634,-30.6312,-9.02603e-24,-1.82785,13.1284,-43.3341,-1.9912,39.4099,76.9353,0.0106582,0.995218,0.0947994,0.021003,481.74,274.212
2,101223,1.44131,-39.361,-3.32634,-30.6312,-9.02603e-24,-1.82785,13.1284,-43.3341,-1.84786,39.4377,76.9593,0.0113252,0.995157,0.0954434,0.0205998,481.74,274.212
3,101223,1.44131,-39.361,-3.46576,-31.2825,-9.02603e-24,-1.82785,12.97,-43.8084,-1.84786,39.4377,76.9593,0.0113252,0.995157,0.0954434,0.0205998,482.168,274.925
4,101243,2.06383,-38.9587,-3.46576,-31.2825,-9.02603e-24,-1.82785,12.97,-43.8084,-1.75547,39.445,77.0122,0.0119796,0.995263,0.0936413,0.0232314,482.168,274.925
5,101265,1.90174,-38.9763,-3.52532,-31.5415,-3.34145,-31.6809,12.9029,-43.9971,-1.71936,39.4469,77.0013,0.0129497,0.995261,0.0937165,0.0224843,482.324,275.232
6,101273,1.8261,-39.0062,-3.52532,-31.5415,-3.34145,-31.6809,12.9029,-43.9971,-1.62004,39.452,76.9713,0.0139199,0.995257,0.0937916,0.0217371,482.324,275.232
7,101293,2.07007,-39.3451,-3.52532,-31.5415,-3.34145,-31.6809,12.9029,-43.9971,-1.53638,39.4465,76.9818,0.0155847,0.995063,0.0953098,0.0228608,482.324,275.232
8,101293,2.07007,-39.3451,-3.66742,-31.6451,-3.48363,-31.7842,12.756,-44.0772,-1.53638,39.4465,76.9818,0.0155847,0.995063,0.0953098,0.0228608,482.633,275.31
9,101313,2.45643,-38.9113,-3.66742,-31.6451,-3.48363,-31.7842,12.756,-44.0772,-1.45939,39.4371,76.9969,0.0167478,0.99518,0.0934432,0.02458,482.633,275.31
10,101330,2.42053,-38.8792,-3.39792,-31.9809,-3.21438,-32.1187,13.0206,-44.3084,-1.36103,39.4069,76.9043,0.0176258,0.995184,0.0933954,0.0239916,482.242,275.715
11,101323,1.70362,-38.7983,-3.39792,-31.9809,-3.21438,-32.1187,13.0206,-44.3084,-1.42764,39.4337,76.9815,0.0167781,0.995308,0.093022,0.0206989,482.242,275.715
12,101363,2.31813,-38.8545,-3.70217,-31.8166,-3.5185,-31.9552,12.7163,-44.2021,-1.31036,39.3913,76.8566,0.0185039,0.995187,0.0933476,0.0234031,482.767,275.48
13,101363,2.31813,-38.8545,-3.70217,-31.8166,-3.5185,-31.9552,12.7163,-44.2021,-1.31036,39.3913,76.8566,0.0185039,0.995187,0.0933476,0.0234031,482.767,275.48
14,101373,2.1266,-38.2711,-3.70217,-31.8166,-3.5185,-31.9552,12.7163,-44.2021,-1.28741,39.3706,76.8835,0.0186038,0.995431,0.0909536,0.02234,482.767,275.48
15,101397,0.3862,-37.7847,-3.37571,-31.3171,-3.5185,-31.9552,13.0605,-43.8297,-1.47173,39.1349,76.6085,0.0199965,0.995601,0.0902371,0.0153671,482.013,274.982
16,101393,2.1326,-38.2742,-3.37571,-31.3171,-3.1917,-31.4572,13.0605,-43.8297,-1.25171,39.327,76.9145,0.0185909,0.995407,0.091266,0.0221238,482.013,274.982
17,101508,-0.566265,-37.1868,-3.98829,-29.216,-3.80272,-29.3638,12.4939,-42.3415,-1.31585,39.2877,76.8568,0.0211058,0.995939,0.0869482,0.0100126,482.645,272.555
18,101508,-2.49172,-36.6536,-3.98829,-29.216,-3.80272,-29.3638,12.4939,-42.3415,-1.6627,39.0311,76.4772,0.0225031,0.99603,0.0860675,0.00314651,482.645,272.555
19,101532,-4.29312,-36.0319,-4.86349,-28.3431,-4.67725,-28.4944,11.6289,-41.7475,-1.75478,39.0171,76.4645,0.024524,0.996189,0.0835743,-0.00457923,484.141,271.558
20,101523,-3.80212,-35.7974,-4.86349,-28.3431,-4.67725,-28.4944,11.6289,-41.7475,-1.80759,38.9863,76.4146,0.023617,0.996299,0.0826154,-0.00210046,484.141,271.558
21,101553,-7.6592,-34.4899,-4.86349,-28.3431,-4.67725,-28.4944,11.6289,-41.7475,-2.19487,38.9076,76.3247,0.0276545,0.996445,0.0776147,-0.0175508,484.141,271.558
22,101553,-7.6592,-34.4899,-7.13227,-27.7545,-6.94552,-27.9093,9.34297,-41.4128,-2.19487,38.9076,76.3247,0.0276545,0.996445,0.0776147,-0.0175508,488.351,270.67
23,101573,-10.5763,-34.2881,-7.13227,-27.7545,-6.94552,-27.9093,9.34297,-41.4128,-2.49811,38.8798,76.3372,0.0314277,0.996094,0.0773123,-0.028848,488.351,270.67
24,101596,-13.6348,-33.8564,-10.0795,-26.8531,-9.89215,-27.0129,6.37695,-40.8796,-2.79817,38.874,76.4174,0.0357551,0.995637,0.075978,-0.0407047,493.959,269.593
25,101614,-16.8169,-33.3986,-10.0795,-26.8531,-9.89215,-27.0129,6.37695,-40.8796,-3.18158,38.8666,76.5198,0.0400766,0.995019,0.0746314,-0.0525548,493.959,269.593
