id,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
0,81934,-20.6589,-67.2577,-19.4232,-71.9597,-19.005,-71.9118,57.3804,-63.1612,39.7387,39.4535,73.7481,0.106751,0.954059,0.192715,-0.20307,342.947,275.221
1,81984,-22.5133,-67.7752,-21.1898,-72.0285,-20.8268,-72.0234,44.8563,-71.1046,39.706,39.4358,73.8637,0.11184,0.952031,0.194448,-0.208133,348.326,276.79
2,82016,-24.1292,-67.817,-21.1898,-72.0285,-20.8268,-72.0234,44.8563,-71.1046,39.7043,39.4406,74.0339,0.115525,0.950484,0.194577,-0.21301,348.326,276.79
3,82286,-35.1695,-73.5219,-26.7925,-70.4798,-26.7408,-70.5158,-17.7514,-76.7684,40.0944,39.8129,74.3966,0.148003,0.935761,0.209852,-0.241679,376.067,278.174
4,82284,-35.0314,-73.5932,-26.7925,-70.4798,-26.7408,-70.5158,-17.7514,-76.7684,40.1788,39.8477,74.4929,0.149872,0.935743,0.209936,-0.240522,376.067,278.174
5,82314,-35.1972,-75.5978,-26.7925,-70.4798,-26.7408,-70.5158,-17.7514,-76.7684,40.287,39.9382,74.4047,0.151628,0.934441,0.215358,-0.239686,376.067,278.174
6,83195,-14.2524,-77.6771,-20.682,-71.9105,-26.7408,-70.5158,47.1846,-67.7363,48.8851,38.3705,68.3891,0.140667,0.937639,0.220268,-0.229189,348.011,275.977
7,83501,-11.7652,-73.8552,-17.8142,-72.9869,-17.3224,-72.9624,82.9064,-67.9734,46.1095,38.7702,70.8484,0.116607,0.948017,0.212386,-0.206297,335.662,277.733
8,83495,-11.8735,-74.099,-17.8142,-72.9869,-17.3224,-72.9624,82.9064,-67.9734,46.357,38.7423,70.6857,0.117812,0.947331,0.21296,-0.208166,335.662,277.733
9,83535,-11.3147,-72.7594,-17.8142,-72.9869,-17.3224,-72.9624,82.9064,-67.9734,45.6634,38.8276,71.0991,0.112165,0.949898,0.209408,-0.203129,335.662,277.733
10,83535,-11.3147,-72.7594,-18.7508,-73.9431,-18.261,-73.9817,88.183,-82.3524,45.6634,38.8276,71.0991,0.112165,0.949898,0.209408,-0.203129,335.631,282.37
11,84425,-44.813,-70.0452,-31.6878,-71.0806,-31.7627,-71.2368,-47.1415,-103.316,38.0576,39.6335,75.2843,0.108599,0.931409,0.198946,-0.284788,386.395,286.811
12,84465,-44.8113,-66.7091,-31.6878,-71.0806,-31.7627,-71.2368,-47.1415,-103.316,38.1073,39.4302,75.1192,0.108305,0.932524,0.189164,-0.287898,386.395,286.811
13,84485,-44.7575,-65.1004,-33.4702,-69.8858,-33.6676,-70.0129,-76.1553,-97.3561,38.1217,39.3804,75.0495,0.107975,0.933188,0.184061,-0.289179,395.863,285.526
14,84495,-44.6325,-63.442,-33.4702,-69.8858,-33.6676,-70.0129,-76.1553,-97.3561,38.1504,39.2807,74.9099,0.107641,0.933824,0.178953,-0.29045,395.863,285.526
15,84515,-43.3861,-61.9216,-33.4702,-69.8858,-33.6676,-70.0129,-76.1553,-97.3561,38.2307,39.1745,74.9183,0.107447,0.935619,0.174751,-0.287287,395.863,285.526
16,84515,-43.3861,-61.9216,-34.2652,-70.9675,-34.4159,-71.1524,-68.1782,-112.546,38.2307,39.1745,74.9183,0.107447,0.935619,0.174751,-0.287287,392.371,289.232
17,84696,-37.166,-52.5505,-28.529,-68.3747,-28.6954,-68.3309,-58.2117,-60.5594,39.0186,38.4528,73.7889,0.106576,0.944063,0.145273,-0.276193,393.834,273.421
18,84716,-36.5253,-52.367,-28.529,-68.3747,-28.6954,-68.3309,-58.2117,-60.5594,39.128,38.4034,73.6679,0.107214,0.944587,0.144822,-0.274384,393.834,273.421
19,84726,-35.945,-51.6443,-28.529,-68.3747,-28.6954,-68.3309,-58.2117,-60.5594,39.1807,38.3897,73.6257,0.106624,0.945442,0.142175,-0.273052,393.834,273.421
20,85103,-47.9391,-58.7822,-32.6127,-68.3306,-32.8846,-68.3703,-89.7926,-76.6772,39.7521,39.0225,73.865,0.143044,0.927383,0.164028,-0.304294,401.971,280.881
21,85117,-48.9995,-60.1716,-32.6127,-68.3306,-32.8846,-68.3703,-89.7926,-76.6772,39.7624,39.1153,73.8925,0.145398,0.925659,0.168243,-0.306119,401.971,280.881
22,85183,-32.6968,-69.5065,-29.1509,-67.9451,-32.8846,-68.3703,-68.4996,-58.339,45.0883,39.2192,71.4735,0.159528,0.930225,0.193866,-0.26767,397.493,273.427
23,85176,-53.0105,-65.077,-29.1509,-67.9451,-29.3654,-67.8928,-68.4996,-58.339,39.8703,39.5107,73.93,0.157602,0.919096,0.182284,-0.311765,397.493,273.427
24,85919,-23.6787,-75.5018,-26.3262,-71.5775,-26.182,-71.6619,0.00922966,-87.0059,45.6182,39.1582,71.2321,0.167094,0.935756,0.211393,-0.227494,367.978,281.646
